Higher taxonomic group,Order,Family,Genus,species,data or source,chromosome number (female),chromosome number (male),c-value,"predicted ploidy (1n, 2n, 3n, 4n)","sexes not separate (hemaphroditic, monoecious, gynodioecious, androdioecious)","karyotype (ZO, ZW, XY, XO, WO, homomorphic, complex XY, complex ZW) ","genotypic  (male or female heterogametic, GSD, polygenic)","maternal/haplo-diploid (maternal, haplo-diploid)","environmental (TSD, TSD Ia, TSD II, size, density, pH, ESD_other)","polyfactorial (yes, no)","molecular basis (dosage, Y dominant, W dominant)",entry initials,"notes, comments",source: chromosome number (female),source: chromosome number (male),source: c-value,"source: predicted ploidy (1n, 2n, 3n, 4n)","source: sexes not separate (hemaphroditic, monoecious, gynodioecious, androdioecious)","source: karyotype (ZO, ZW, XY, XO, WO, homomorphic, complex XY, complex ZW) ","source: genotypic  (male or female heterogametic, GSD, polygenic)","source: maternal/haplo-diploid (maternal, haplo-diploid)","source: environmental (TSD, TSD Ia, TSD II, size, density, pH, ESD_other)","source: polyfactorial (yes, no)","source: molecular basis (dosage, Y dominant, W dominant)"
Fish,Perciformes,gobiidae,Lythrypnus,dalli,data,,,,,hermaphrodite,,,,,,,JEM,simultaneous or protogynous hermaphrodite,,,,,St Mary|C.M.|1993,,,,,,
Fish,Perciformes,gobiidae,Lythrypnus,nesoites,data,,,,,hermaphrodite,,,,,,,JEM,protogynous hermaphrodite,,,,,St Mary|C.M.|1998,,,,,,
Fish,Perciformes,gobiidae,Lythrypnus,phorellus,data,,,,,hermaphrodite,,,,,,,JEM,simultaneous or protogynous hermaphrodite,,,,,St Mary|C.M.|1998,,,,,,
Fish,Perciformes,gobiidae,Lythrypnus,spilus,data,,,,,hermaphrodite,,,,,,,JEM,simultaneous or protogynous hermaphrodite,,,,,St Mary|C.M.|1998,,,,,,
Fish,Perciformes,gobiidae,Lythrypnus,zebra,data,,,,,hermaphrodite,,,,,,,JEM,simultaneous or protogynous hermaphrodite,,,,,St Mary|C.M.|1998,,,,,,
Fish,Perciformes,gobiidae,Mogrunda,obscura,data,62,62,,,,homomorphic  ,male heterogametic,,,,,JEM,,Garletti Jr.|P.M.|2000|Hydrobiologia 420:55-62,Garletti Jr.|P.M.|2000|Hydrobiologia 420:55-62,,,,Devlin|R.H.|2002|Devlin and Nagahama 2002,Devlin|R.H.|2002|Devlin and Nagahama 2002,,,,
Fish,Perciformes,gobiidae,Neogobius,kessleri,data,30,29,,,,homomorphic,male heterogametic,,,,,JEM,"X1, Y1 Y2",Arai|Ryoichi|2011|Arai 2011 Fish Karyotypes,Arai|Ryoichi|2011|Arai 2011 Fish Karyotypes,,,,Devlin|R.H.|2002|Devlin and Nagahama 2002,Devlin|R.H.|2002|Devlin and Nagahama 2002,,,,
Fish,Perciformes,gobiidae,Paragobiodon,echinocephalus,data,,,1.22,,hermaphrodite,,,,,,,JEM,protogynous or bi-directional  hermaphrodite,,,http://www.genomesize.com,,Cole|K.S.|1990,,,,,,
Fish,Perciformes,gobiidae,Priolepis,eugenius,data,,,,,hermaphrodite,,,,,,,JEM,protogynous with bisexual period,,,,,Devlin|R.H.|2002|Devlin and Nagahama 2002,,,,,,
Fish,Perciformes,gobiidae,Priolepis,hipoliti,data,,,,,hermaphrodite,,,,,,,JEM,protogynous with bisexual period,,,,,Francis|R.C.|1992,,,,,,
fish,Perciformes,Gobiidae,Proterorhinus,marmoratus,data,46,46,,,,XY,male heterogametic,,,,,JK,,Arai|Ryoichi|2011|Arai 2011 Fish Karyotypes,Arai|Ryoichi|2011|Arai 2011 Fish Karyotypes,,,,Arai|Ryoichi|2011|Arai 2011 Fish Karyotypes,Arai|Ryoichi|2011|Arai 2011 Fish Karyotypes,,,,
Fish,Perciformes,gobiidae,Synechogobius,ommaturus,data,,,,,,homomorphic  ,male heterogametic,,,,,JEM,,,,,,,Devlin|R.H.|2002|Devlin and Nagahama 2002,Devlin|R.H.|2002|Devlin and Nagahama 2002,,,,
Fish,Perciformes,gobiidae,Trimma,caesiura,data,,,,,hermaphrodite,,,,,,,JEM,simultaneous or protogynous hermaphrodite,,,,,Cole|K.S.|1990,,,,,,
Fish,Perciformes,gobiidae,Trimma,grammistes,data,,,,,hermaphrodite,,,,,,,JEM,simultaneous or protogynous hermaphrodite,,,,,Kuwamura|T.|1998,,,,,,
Fish,Perciformes,gobiidae,Trimma,okinawae,data,,,,,hermaphrodite,,,,,,,JEM,simultaneous or protogynous hermaphrodite,,,,,St Mary|C.M.|1998,,,,,,
Fish,Perciformes,gobiidae,Trimma,taylori,data,,,,,hermaphrodite,,,,,,,JEM,simultaneous or protogynous hermaphrodite,,,,,St Mary|C.M.|1998,,,,,,
Fish,Perciformes,gobiidae,Trimma,unisquamis,data,,,,,hermaphrodite,,,,,,,JEM,simultaneous or protogynous hermaphrodite,,,,,Cole|K.S.|1990,,,,,,
Fish,Perciformes,grammatidae,Gramma,loreto,data,,,,,hermaphrodite,,,,,,,JEM,protogynous hermaphrodite,,,,,Devlin|R.H.|2002|Devlin and Nagahama 2002,,,,,,
Fish,Perciformes,istiophoridae,Tetrapturus,albidus,data,,,,,,homomorphic  ,male heterogametic,,,,,JEM,,,,,,,Devlin|R.H.|2002|Devlin and Nagahama 2002,Devlin|R.H.|2002|Devlin and Nagahama 2002,,,,
Fish,Perciformes,labridae,Achoerodus,viridis,data,,,,,hermaphrodite,,,,,,,JEM,protogynous hermaphrodite,,,,,Devlin|R.H.|2002|Devlin and Nagahama 2002,,,,,,
Fish,Perciformes,labridae,Anampses,geographicus,data,,,,,hermaphrodite,,,,,,,JEM,protogynous hermaphrodite,,,,,Devlin|R.H.|2002|Devlin and Nagahama 2002,,,,,,
Fish,Perciformes,labridae,Bodianus,diplotaenia,data,,,,,hermaphrodite,,,,,,,JEM,protogynous hermaphrodite,,,,,Devlin|R.H.|2002|Devlin and Nagahama 2002,,,,,,
Fish,Perciformes,labridae,Bodianus,eclancheri,data,,,,,hermaphrodite,,,,,,,JEM,protogynous hermaphrodite,,,,,Devlin|R.H.|2002|Devlin and Nagahama 2002,,,,,,
Fish,Perciformes,labridae,Bodianus,rufus,data,48,48,,,hermaphrodite,,,,,,,JEM,protogynous hermaphrodite,Arai|Ryoichi|2011|Arai 2011 Fish Karyotypes,Arai|Ryoichi|2011|Arai 2011 Fish Karyotypes,,,Devlin|R.H.|2002|Devlin and Nagahama 2002,,,,,,
Fish,Perciformes,labridae,Choerodon,azurio,data,48,48,,,hermaphrodite,,,,,,,JEM,protogynous hermaphrodite,Arai|Ryoichi|2011|Arai 2011 Fish Karyotypes,Arai|Ryoichi|2011|Arai 2011 Fish Karyotypes,,,Devlin|R.H.|2002|Devlin and Nagahama 2002,,,,,,
